No,구분,대분류,중분류,"소분류
(작업 기준)","작업
등급",재해유형,세부 위험요인,"위험
등급",위험성 감소 대책,"위험
등급"
1,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,인력 고소작업 시 추락 위험,C4,안전벨트 착용 및 안전고리 체결,C1
2,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,고소차 외부 충돌에 의한 위험,C3,"고소차 사용(붐이동 시 벗킷에 안전고리체결, 이동 완료 후 주변 시설물에 안전고리 체결)",C1
3,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,안전벨트 미착용 및 안전고리 미체결로 추락 위험,C3,2m이상 고소작업 시 전체식 안전대 착용 및 안전고리 체결,C1
4,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,고소차 상부 작업자 안전고리 미체결로 추락 위험,C3,"고소차 사용(붐이동 시 벗킷에 안전고리체결, 이동 완료 후 주변 시설물에 안전고리 체결)",C1
5,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,자재 인양줄 결속상태의 불량으로 작업자 추락,C3,"추락방지 안전구역 설정, 재재 인양 시 보조 인양줄 설치",C1
6,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계를 활용하여 10m/s이상 시 중장비 사용 작업 중지,C1
7,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계 활용하여 14m/s이상 시 옥외 작업 중지(기상 경보 발령시),C1
8,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,넘어짐,주변 재재에 걸려 넘어질 위험,C1,"각반착용 및 전방주시 및 주변시설물(지선,블록,구조물)확인, 정리정돈 철저",C1
9,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,넘어짐,작업시 근로자 넘어짐에 따른 부상,C1,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
10,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,넘어짐,기존 시설물에 부딪히거나 걸려 넘어짐,C1,"전방주시 및 주변시설물(지선,블록,구조물)확인",C1
11,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,깔림,자재 인양줄 결속상태의 불량으로 하단 작업자 깔림,C3,자재 운반시 2중으로 인양줄 설치,C1
12,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,깔림,고소차량등 전도에 의한 위험,C2,중장비 사용 시 수평 유지 및 아웃트리거 받임목 설치,C1
13,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,부딪힘,자재 인양중 흔들림에 의한 작업자와 부딪힘,C1,재재 인양 시 보조 인양줄 설치로 흔들림 예방,C1
14,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,절단/배임/찔림,현장에서 자재 조립에의한 배임/찔림,C1,작업시 반드시 작업용 장갑 착용,C1
15,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,감전,승주 시 누전에 의한 감전 사고,C2,승주전 비접촉검전기 활용 누전 유무 확인,C1
16,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,교통사고,작업중 외부 차량과 고소차 충돌 위험,C3,작업 반경 주변 안전구역 설정 및 신호수 배치,C1
17,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,부딪힘,작업 반경내 외부인 출입으로 사고 위험,C1,작업 반경 주변 안전구역 설정 및 신호수 배치(외부인 통제 시행),C1
18,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,끼임,철자재 조립시 손끼임 부상 위험,C1,작업자 보호구(장갑 등) 착용 및 작업절차 준수,C1
19,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,맞음,"작업도구(몽키,토크렌치등)떨어트림, 공구 부딪힘(얼굴등)",C1,"공.도구 낙하방지 조임줄 사용, 상.하 동시작업 금지",C1
20,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
21,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
22,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
23,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,해충,장비 점검 시 벌쏘일 위험,C1,해충방지재 활용 후 이동,C1
24,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,고소작업 시 추락 위험,C3,안전벨트 착용 및 주변 시설물에 안전고리 체결,C1
25,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,안전벨트 미착용 및 안전고리 미체결로 추락 위험,C3,안전벨트 착용 및 주변 시설물에 안전고리 체결,C1
26,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,급전선 인양/포설 시 근로자 추락위험,C3,"추락방지 안전구역 설정, 생명줄 설치/안전고리 체결",C1
27,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,부딪힘,작업 반경내 외부인 출입으로 사고 위험,C1,작업 반경 주변 안전구역 설정 및 신호수 배치(외부인 통제 시행),C1
28,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계를 활용하여 10m/s이상 시 중장비 사용 작업 중지,C1
29,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,넘어짐,기존 시설물에 부딪히거나 걸려 넘어짐,C1,"전방주시 및 주변시설물(지선,블록,구조물)확인",C1
30,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계 활용하여 14m/s이상 시 옥외 작업 중지(기상 경보 발령시),C1
31,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,부딪힘,자재 인양중 흔들림에 의한 작업자와 부딪힘,C1,재재 인양 시 보조 인양줄 설치로 흔들림 예방,C1
32,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,부딪힘,돌출물에 의해 부딪힘,C2,작업전 TBM 시 위험요인 공유 및 숙지 후 작업,C1
33,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,부딪힘,공동구 작업 중 돌출물에 의한 충돌 위험,C3,비상 사태 대비 조명 지급 및 무전기 지급 신호 연락 철저,C1
34,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,자재 인양줄 결속상태의 불량으로 작업자 추락,C3,"추락방지 안전구역 설정, 재재 인양 시 보조 인양줄 설치",C1
35,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,안전벨트 미착용 및 안전고리 미체결로 추락 위험,C3,2m이상 고소작업 시 전체식 안전대 착용 및 안전고리 체결,C1
36,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
37,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
38,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,비계 작업 시 추락 위험,C3,비계 작업 안전수칙 준수 및 공법 준수 확인 후 작업,C1
39,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,떨어짐,비계 이동 시 추락 위험,C2,비계에서 이동 시 안전고리 체결후 이동,C1
40,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
41,SKO,중계기/기지국/통합국/교환사옥,실외/실내,고소작업(건물 내/외벽 작업),S등급,절단/배임/찔림,작업자 실수에 의한 배임/찔림,C1,작업시 반드시 작업용 장갑 착용,C1
42,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,떨어짐,고소작업 시 추락 위험,C3,안전벨트 착용 및 주변 시설물에 안전고리 체결,C1
43,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,감전,공동구 케이블트레이 누설 전류에 의한 감전 사고 발생,C3,검전기 활용 누설전류 측정 후 작업,C1
44,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,떨어짐,안전벨트 미착용 및 안전고리 미체결로 추락 위험,C3,안전벨트 착용 및 주변 시설물에 안전고리 체결,C1
45,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,넘어짐,주변 재재에 걸려 넘어질 위험,C1,"각반착용 및 전방주시 및 주변시설물(지선,블록,구조물)확인, 정리정돈 철저",C1
46,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,넘어짐,작업시 근로자 넘어짐에 따른 부상,C1,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
47,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,흩날림,드릴작업 시 분진등 흩날림에 의한 위험,C1,방진마스크 및 보안경 착용 후 작업,C1
48,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,넘어짐,기존 시설물에 부딪히거나 걸려 넘어짐,C1,"전방주시 및 주변시설물(지선,블록,구조물)확인",C1
49,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,절단/배임/찔림,현장에서 자재 조립에의한 배임/찔림,C1,작업시 반드시 작업용 장갑 착용,C1
50,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,깔림,비계 넘어질 위험,C1,비계 고정 및 고정 불가 시 아웃트리거 설치,C1
51,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,부딪힘,작업 반경내 외부인 출입으로 사고 위험,C1,작업 반경 주변 안전구역 설정 및 외부인 통제 시행,C1
52,SKO,기지국/중계기,실내,고소작업(인빌딩/RF 천정 급전선 설치/해체),S등급,떨어짐,비계 상단 작업시 떨어질 위험,C3,비계 상단 작업 난간 설치 및 난간에 안전고리 체결 후 작업,C1
53,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,떨어짐,고소작업 시 추락 위험,C3,안전벨트 착용 및 안전고리 체결,C1
54,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,교통사고,고소차 외부 충돌에 의한 위험,C3,"고소차 사용(붐이동 시 벗킷에 안전고리체결, 이동 완료 후 주변 시설물에 안전고리 체결)",C1
55,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,부딪힘,작업중 외부 차량과 고소차 충돌 위험,C3,작업 반경 주변 안전구역 설정 및 신호수 배치,C1
56,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,부딪힘,작업 반경내 외부인 출입으로 사고 위험,C1,작업 반경 주변 안전구역 설정 및 신호수 배치(외부인 통제 시행),C1
57,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,떨어짐,안전벨트 미착용 및 안전고리 미체결로 추락 위험,C3,2m이상 고소작업 시 전체식 안전대 착용 및 안전고리 체결,C1
58,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,떨어짐,고소차 상부 작업자 추락 위험,C3,"고소차 사용(붐이동 시 벗킷에 안전고리체결, 이동 완료 후 주변 시설물에 안전고리 체결)",C1
59,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,떨어짐,자재 인양줄 결속상태의 불량으로 작업자 추락,C3,"추락방지 안전구역 설정, 재재 인양 시 보조 인양줄 설치",C1
60,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,넘어짐,주변 재재에 걸려 넘어질 위험,C1,"각반착용 및 전방주시 및 주변시설물(지선,블록,구조물)확인, 정리정돈 철저",C1
61,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,넘어짐,작업시 근로자 넘어짐에 따른 부상,C1,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
62,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,넘어짐,기존 시설물에 부딪히거나 걸려 넘어짐,C1,"전방주시 및 주변시설물(지선,블록,구조물)확인",C1
63,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,깔림,자재 인양줄 결속상태의 불량으로 하단 작업자 깔림,C3,자재 운반시 2중으로 인양줄 설치,C1
64,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,부딪힘,자재 인양중 흔들림에 의한 작업자와 부딪힘,C1,재재 인양 시 보조 인양줄 설치로 흔들림 예방,C1
65,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
66,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
67,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
68,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,절단/배임/찔림,현장에서 자재 조립에의한 배임/찔림,C1,작업시 반드시 작업용 장갑 착용,C1
69,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계를 활용하여 10m/s이상 시 중장비 사용 작업 중지,C1
70,SKO,기지국/중계기,실외,건물 옥탑 내 친환경 가림막 공사,S등급,끼임,철자재 조립시 손끼임 부상 위험,C1,작업자 보호구(장갑 등) 착용 및 작업절차 준수,C1
71,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,넘어짐,장비 반입/반출 시 근로자 추락위험,C3,"추락방지 안전구역 설정, 생명줄 설치/안전고리 체결",C1
72,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,맞음,"작업도구(전동드릴 등), 공구떨어트림, 공구 부딪힘(얼굴등)",C1,"공.도구 낙하방지 조임줄 사용, 상.하 동시작업 금지",C1
73,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,넘어짐,작업시 근로자 넘어짐에 따른 부상,C1,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
74,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,깔림,하역운반 장치 사용 시 자재 낙하에 의한 작업자 협착 위험,C3,인양자재 로프 설치 등 고정 후 작업,C1
75,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,떨어짐,"강풍으로 붐대 꺽임, 비틀림 발생",C2,"풍속계를 비치(풍속 수시확인), 악천후 및 강풍 시 작업 중지",C1
76,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,부딪힘,장비 작업 반경 내 작업자 또는 보행자 충돌/협착 위험,C1,신호수 배치/차량작업공간 확보/작업안내판 설치/차량고임목 설치,C1
77,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,교통사고,장비 도로 점유 중 운행 차량과 추돌 위험,C1,"전방 안전표시판, 라바콘 설치 및 신호수 배치",C1
78,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,넘어짐,장비(크레인) 사용 중 차량 전도 위험,C2,"차량 설치 전 지반, 수평 상태 확인 및 아웃트리거 설치",C1
79,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,깔림,크레인 자재 적재불량 및 과적재로 운반중 낙하 위험,C2,"자재 고정 조치, 무게감지센서 동작 및 안전적재 무게확인 등 사전조치",C1
80,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,떨어짐,작업자 안전고리 미체결로 추락 위험,C2,"생명줄 설치 및 안전고리 체결 및 붐대, 작업대 연결부 고정 상태 확인",C1
81,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,부딪힘,작업자간 소통 오류에 따른 재해발생 위험,C1,"장비 이동시 후방 확인 및 신호수 배치 (작업공간 확보, 작업안내판 설치, 라바콘 설치)",C1
82,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,끼임,옥상으로 중량물 운반시 끼임 사고 위험(크레인),C3,"하역운반기계와 중량물, 중량물과 중량물 사이 등 출입금지",C1
83,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,깔림,옥상으로 중량물 운반시 낙하 발생 위험(크레인),C1,"하역운반기계와 중량물, 중량물과 중량물 사이 등 출입금지",C1
84,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
85,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
86,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
87,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,깔림,중량물 인양 작업시 로프 불량에 의한 낙하 위험(크레인),C1,"중량물 하중에 맞는 인양로프 사용 후 작업, 작업 전 로프상태 점검 후 작업실시",C1
88,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,부딪힘,크레인 운전자 및 작업지휘자간 신호 불일치로 충돌 발생 위험,C1,신호수 배치 및 작업통제,C1
89,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,감전,3m 이내 외부 고압이상 근처 작업으로 인한 감전 위험,C2,감전 예방 방호망 설치 후 작업,C1
90,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(양중기 등 장비 사용),S등급,넘어짐,크레인 작업시 지반 안정성 미확보로 인한 전복 발생 위험,C2,"아웃트리거(안정기) 및 받침목 설치, 작업 전 크레인 안전장치 점검 실시",C1
91,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,떨어짐,장비 반입/반출 시 근로자 추락위험,C2,"추락방지 안전구역 설정, 생명줄 설치/안전고리 체결",C1
92,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,깔림,지게차 하역운반 장치 사용 시 자재 낙하 위험,C2,자재 안전로프 설치 고정,C1
93,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,끼임, 중량물 운반시 끼임 사고 위험,C3,"하역운반기계와 중량물, 중량물과 중량물 사이 등 출입금지",C1
94,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,깔림,자재 적재불량 및 과적재로 운반중 낙하 위험,C2,"자재 고정 조치, 무게감지센서 동작 및 안전적재 무게확인 등 사전조치",C1
95,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,교통사고,장비 도로 점유 중 운행 차량과 추돌 위험,C1,"전방 안전표시판, 라바콘 설치 및 신호수 배치",C1
96,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,부딪힘,장비 작업 반경 내 작업자 또는 보행자 충돌/협착 위험,C2,신호수 배치/차량작업공간 확보/작업안내판 설치/차량고임목 설치,C1
97,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,부딪힘,장비 도로 점유 중 운행 차량과 추돌 위험,C3,"안전구역 설정(전방 안전표시판, 라바콘 설치) 및 신호수 배치",C1
98,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,부딪힘,지게차 자재 적재불량 및 과적재로 운반중 낙하 위험,C1,"자재 고정 조치, 무게감지센서 동작 및 안전적재 무게확인 등 사전조치",C1
99,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,맞음,"작업도구(전동드릴 등), 공구떨어트림, 공구 부딪힘(얼굴등)",C1,"공.도구 낙하방지 조임줄 사용, 상.하 동시작업 금지",C1
100,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,떨어짐,작업자 안전고리 미체결로 추락 위험,C1,"생명줄 설치 및 안전고리 체결 및 붐대, 작업대 연결부 고정 상태 확인",C1
101,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
102,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
103,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
104,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,감전,3m 이내 고압이상 근처 작업으로 인한 감전 위험,C2,감전 예방 방호망 설치 후 작업,C1
105,SKO,기지국/통합국/교환사옥,실내/실외,중장비(중량물)작업(차량하역운반기계 사용),S등급,부딪힘,작업차량 상/하차시 중장비 사용 및 고장 따른 위험,C1,"중장비 운행시 주변통제, 중장비 면허 자격자 운행, 중장비보험, 검사증 확인  ",C1
106,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,부딪힘,작업차량 주차시 사고위험,C1,차량작업공간 확보/차량고임목 설치,C1
107,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,감전,외부 고압이상 근처 작업으로 인한 감전 위험,C2,활선경보기 착용 및 작업 동선 인지 후 작업,C1
108,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,감전,3m 이내 외부 고압이상 근처 작업으로 인한 감전 위험,C3,감전 예방 방호망 설치 후 작업,C1
109,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,깔림,작업차량 상/하차시 중량물에 따른 부상위험,C3,(인력운반)중량물 5Kg이상시 2인1조로 운반,C1
110,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,깔림,작업차량 상/하차시 중량물에 따른 부상위험,C3,(장비운반) 지게차 및 트럭 리프트 활용 운반,C1
111,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,떨어짐,작업차량 상/하차시 중장비 사용 및 고장 따른 위험,C1,"중장비 운행시 주변통제, 중장비 면허 자격자 운행, 중장비보험, 검사증 확인  ",C1
112,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,떨어짐,자재 상/하차시 작업시 근로자 차량에서 추락위험,C1,차량 적재 탑승하여 자재인양 금지 ,C1
113,SKO,기지국/통합국/교환사옥,실외,중장비(중량물)작업(차량계건설기계 사용),S등급,떨어짐,차량 중량물 추락으로 협착/찍힘,C2,차량 상/하역 작업시 중량물 이중 안전고리 체결로 낙하 방지,C1
