No,구분,대분류,중분류,"소분류
216,SKO,기지국/통합국/교환사옥,실내/실외,화기/가스 작업(Co2 소화설비 설치 및 해체),S등급,화학물질 누출/접촉,작업자 실수에 의한 Co2 누출,C3,"MSDS 배치 및 교육 시행 / 피부접촉, 또는 흡입 시 응급조치 요령 사전 습득",C1
217,SKO,기지국/통합국/교환사옥,실내/실외,화기/가스 작업(Co2 소화설비 설치 및 해체),S등급,폭발/파열,소화설비 누출로 인한 폭발위험성,C1,"소화 용기 유효기간 확인, 작업구역내 인원통제",C1
218,SKO,기지국/통합국/교환사옥,실내/실외,화기/가스 작업(Co2 소화설비 설치 및 해체),S등급,불균형 및 무리한 동작,무리한 작업으로 인한 근골격게 질환 발생,C3,작업전 충분한 스트레칭 및 TBM 실시,C1
219,SKO,기지국/통합국/교환사옥,실내/실외,화기/가스 작업(Co2 소화설비 설치 및 해체),S등급,깔림,자재 하강 중 하부 작업자 낙하물에 의한 충돌 위험,C3,"낙하물에 의한 눈 찔림 예방을 위해 보안경 착용, 안전 구역 설정",C1
220,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,교통사고,안전시설물 미설치로 인한 충돌 위험,C3,작업장 주변 안전구역 설치(신호수 배치 또는 에어로봇 설치로 차량 서행 유도),C1
221,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,부딪힘,경사구간 작업시 차량미끌림으로 인한 충돌 위험,C3,차량 주차후 사이드 브레이크 작동 및 고임목 설치,C1
222,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,교통사고,주행 차량에 의한 차량 충돌 및 이로 인한 작업차 추락,C3,작업전 안전 시설물 설치 및 붕괴우려가 없는 단단한 시설물(조가선 등)에 안전고리 체결,C1
223,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,떨어짐,개인보호구 미착용/불량 및 안전고리 미체결로 인한 추락,C3,개인보호구 이상 유무 점검 및 보조 안전고리 체결,C1
224,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,감전,전선 접촉 또는 누설 전류에 의한 감전,C3,작업전 조가선등 검전계로 누설 전류 확인 및 활선경보기 착용,C1
225,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,이상온도/물체접촉,장시간 작업에 따른 하절기 열사병 및 동절기 동상 발생,C3,"근로자 건강장애 예방을 위한 발열조끼, 넥워머, 핫팩 등 개인지급품 사용",C1
226,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,교통사고,점검시 주행 차량에 의한 작업자 충돌 위험,C3,안전구역 설정 및 신호수 배치 후 작업통제 철저,C1
227,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,넘어짐,점검시 넘어짐에 따른 부상,C3,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
228,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
229,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,감전,3m 이내 고압이상 근처 작업으로 인한 감전 위험,C3,감전 예방 방호망 설치 후 작업,C1
230,SKO,기지국/중계기/선로,실외,도로(변) 작업(80km/h 이상 도로변),S등급,떨어짐,"사다리,고소작업차  승주 시 추락 위험",C2,"전체식 안전대 착용 철저, 사다리 아웃트리거 설치 및 확장 후 작업",C1
231,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,부딪힘,도로변 고소차 주정차 시 충돌 위험,C3,작업차량 전방에 공사안내표지판 및 라바콘 설치,C1
232,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,부딪힘,도로변 고소차 주정차 시 충돌 위험,C3,신호수 배치 또는 에어로봇 설치로 차량 서행 유도,C1
233,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,부딪힘,경사구간 작업시 차량미끌림으로 인한 충돌 위험,C3,차량 주차후 사이드 브레이크 작동 및 고임목 설치,C1
234,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,교통사고,맨홀작업전 작업장 주변 교통사고 발생,C3,신호수 배치 및 전방(도로 상황별 안전거리 확보) 안전 시설물등 설치로 교통사고 방호조치,C1
235,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,끼임,맨홀 덮개 개/폐시 덮개에 의한 협착위험,C3,맨홀 덮개 개폐시 전용 공구 이용하여 2인 1조 작업,C1
236,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,끼임,맨홀 덮개 개/폐시 덮개에 의한 협착위험,C3,고임장치 없이 손이나 발이 덮개하부에 놓이지 않도록 관리 철저,C1
237,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,떨어짐,맨홀 덮개 개방 시 작업자 및 보행자 떨어짐,C3,"출입금지 표지판 설치 및 라바콘,콘 걸이대 이용 출입 금지구역 설정 후 작업",C1
238,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,불균형 및 무리한 동작,무리한 작업으로 인한 근골격게 질환 발생,C3,작업전 충분한 스트레칭 및 TBM 실시,C1
239,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,교통사고,배수시 처리 불량(동절기 결빙)으로 인한 교통 사고 발생,C3,양수기 호수 연장 우수관에 직접 배출,C1
240,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,산소결핍,밀폐공간 작업 시 질식 위험,C3,"유해가스 농도 기준 준수 후 작업 진행
 - 산소(O2) :18% 이상, 23.5% 미만, 황화수소(H2S) : 10ppm 이하
 - 일산화탄소(CO) : 30ppm 미만, 가연성가스(메탄 등) :10% 미만
 - 이산화탄소(CO2) :1.5% 미만",C1
241,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,산소결핍,밀폐공간 작업 시 질식 위험,C3,밀폐공간 내부 작업자는 반드시 가스농도 주기적 측정 후 양호 시 작업 실시,C1
242,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,산소결핍,밀폐공간 작업 시 질식 위험,C3,비상시 대비하여 휴대용 산소공급기 지급하여 비치 ,C1
243,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,산소결핍,밀폐공간 작업 시 질식 위험,C3,휴대용 환기장치(배풍기)사용하여 맨홀 작업 전 환기 실시,C1
244,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,감전,공동구 케이블트레이 누설 전류에 의한 감전 사고 발생,C3,"검전기 활용 누설전류 측정 후 작업, 활선 경보기 착용",C1
245,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,부딪힘,어두운 공동구 작업 중 돌출물에 의한 충돌 위험,C2,작업 중 조도 확보 및 돌출물 사전 확인,C1
246,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 도로내 맨홀 출/입),S등급,부딪힘,공동구 작업 중 돌출물에 의한 충돌 위험,C3,비상 사태 대비 조명 지급 및 무전기 지급 신호 연락 철저,C1
247,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,교통사고,도로변 안전시설물 설치 및 해체 시 주행차량과 추돌 위험,C3,안전시설물 설치 시 신호수 동행하여 작업,C1
248,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,넘어짐,작업차량 아웃트리거 설치 불량에 따른 차량 전복 위험,C3,지반상태 확인 및 받침판 설치 아웃트리거 전개 설치,C1
249,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,부딪힘,경사지 주차시 브레이크 미체결로 인한 충돌 위험,C3,작업위치 도착 후 반드시 주차 브레이크를 체결하고 고임목을 설치 ,C1
250,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,넘어짐,작업 차량 아웃트리거 설치 불량으로 인한 차량 전도,C3,"지반 상태 확인 및 받침판 설치, 아웃트리거 작업 방향 최대한 전개 설치",C1
251,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,깔림,자재 하강 중 하부 작업자 낙하물에 의한 충돌 위험,C3,"낙하물에 의한 눈 찔림 예방을 위해 보안경 착용, 안전 구역 설정",C1
252,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,떨어짐,작업자 Bucket 외부 무리한 작업 중 추락 위험,C3,Bucket 탑승 즉시 보조안전고리 체결,C1
253,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,감전,3m 이내 고압이상 근처 작업으로 인한 감전 위험,C3,감전 예방 방호망 설치 후 작업,C1
254,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,감전,전선 접촉 또는 누설 전류에 의한 감전,C3,작업전 조가선등 검전계로 누설 전류 확인 및 활선경보기 착용,C1
255,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,불균형 및 무리한 동작,드릴작업 중 교량 콘크리트 부산물 등에 의한 충격 발생,C3,"보안경 등 개인보호구 착용 철저, 무리한 힘 지양하고 적정한 힘으로 여러 번 나눠 작업",C1
256,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,교통사고,작업시 주행 차량에 의한 작업자 충돌 위험,C3,도로 중앙 및 교차로 부분 작업시 작업구간 후방에 방호차량 배치,C1
257,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,부딪힘,작업 차량에 의한 보행자 충돌 위험,C3,보행자 통로 확보 및 신호수에 의한 보행자 통로 이동 유도,C1
258,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,부딪힘,작업 공간 미확보로 주행차량 및 보행자 추돌위험,C2,"라바콘/라바콘 걸이대 사용 작업 공간 확보, 신호수 배치로 작업반경내 외부인 접근 금지",C1
259,SKO,선로,실외,도로(변) 작업(광케이블 교량첨가),S등급,불균형 및 무리한 동작,무리한 작업으로 인한 근골격게 질환 발생,C3,작업전 충분한 스트레칭 및 TBM 실시,C1
260,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,교통사고,도로변 안전시설물 설치 및 해체 시 주행차량과 추돌 위험,C3,안전시설물 설치 시 신호수 동행하여 작업,C1
261,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,넘어짐,작업차량 아웃트리거 설치 불량에 따른 차량 전복 위험,C3,지반상태 확인 및 받침판 설치 아웃트리거 전개 설치,C1
262,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,넘어짐,작업 차량 아웃트리거 설치 불량으로 인한 차량 전도,C3,"지반 상태 확인 및 받침판 설치, 아웃트리거 작업 방향 최대한 전개 설치",C1
263,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,부딪힘,경사지 주차시 브레이크 미체결로 인한 충돌 위험,C3,작업위치 도착 후 반드시 주차 브레이크를 체결하고 고임목을 설치 ,C1
264,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,깔림,자재 하강 중 하부 작업자 낙하물에 의한 충돌 위험,C3,"낙하물에 의한 눈 찔림 예방을 위해 보안경 착용, 안전 구역 설정",C1
265,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,떨어짐,작업자 Bucket 외부 무리한 작업 중 추락 위험,C3,Bucket 탑승 즉시 보조안전고리 체결,C1
266,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,교통사고,작업시 주행 차량에 의한 작업자 충돌 위험,C3,도로 중앙 및 교차로 부분 작업시 작업구간 후방에 방호차량 배치,C1
267,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,불균형 및 무리한 동작,무리한 작업으로 인한 근골격게 질환 발생,C3,작업전 충분한 스트레칭 및 TBM 실시,C1
268,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,부딪힘,작업 공간 미확보로 주행차량 및 보행자 추돌위험,C2,"라바콘/라바콘 걸이대 사용 작업 공간 확보, 신호수 배치로 작업반경내 외부인 접근 금지",C1
269,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,떨어짐,개인보호구 미착용/불량 및 안전고리 미체결로 인한 추락,C3,개인보호구 이상 유무 점검 및 보조 안전고리 체결,C1
270,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,감전,전선 접촉 또는 누설 전류에 의한 감전,C3,작업전 조가선등 검전계로 누설 전류 확인 및 활선경보기 착용,C1
271,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
272,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
273,SKO,기지국/중계기/선로,실외,"도로(변) 작업(지하도로, 교량 및 지하철/터널)",S등급,넘어짐,주변 재재에 걸려 넘어질 위험,C1,"각반착용 및 전방주시 및 주변시설물(지선,블록,구조물)확인, 정리정돈 철저",C1
274,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,교통사고,안전시설물 미설치로 인한 충돌 위험,C3,작업장 주변 안전구역 설치(신호수 배치 또는 에어로봇 설치로 차량 서행 유도),C1
275,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,부딪힘,경사구간 작업시 차량미끌림으로 인한 충돌 위험,C3,차량 주차후 사이드 브레이크 작동 및 고임목 설치,C1
276,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,교통사고,주행 차량에 의한 차량 충돌 및 이로 인한 작업차 추락,C3,작업전 안전 시설물 설치 및 붕괴우려가 없는 단단한 시설물(조가선 등)에 안전고리 체결,C1
277,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,떨어짐,개인보호구 미착용/불량 및 안전고리 미체결로 인한 추락,C3,개인보호구 이상 유무 점검 및 보조 안전고리 체결,C1
278,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,감전,전선 접촉 또는 누설 전류에 의한 감전,C3,작업전 조가선등 검전계로 누설 전류 확인 및 활선경보기 착용,C1
279,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,감전,3m 이내 고압이상 근처 작업으로 인한 감전 위험,C3,감전 예방 방호망 설치 후 작업,C1
280,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,이상온도/물체접촉,장시간 작업에 따른 하절기 열사병 및 동절기 동상 발생,C3,"근로자 건강장애 예방을 위한 발열조끼, 넥워머, 핫팩 등 개인지급품 사용",C1
281,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,교통사고,점검시 주행 차량에 의한 작업자 충돌 위험,C3,안전구역 설정 및 신호수 배치 후 작업통제 철저,C1
282,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,넘어짐,점검시 넘어짐에 따른 부상,C3,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
283,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,떨어짐,고소차 버킷 탑승 후 이동시 추락 위험,C3,"고소차 이동시 버킷 탑승 금지, 단 짧은거리 이동시 관리감독자 안전검토 후 이동",C1
284,SKO,선로,실외,도로(변) 작업(왕복4차선 이상 횡단 조가선 신설/철거),S등급,교통사고,횡단 조가선 신설/철거시 케이블에 위한 차량 충돌 위험,C3,케이블 신설/철거 시 작업 공간내 차량 통제 후 작업 진행,C1
285,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,맞음,"작업 공구떨어트림, 공구 부딪힘(얼굴등)",C1,공.도구 낙하방지 조임줄 사용후 작업,C1
286,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,떨어짐,"사다리,고소작업차  승주 시 추락 위험",C2,"전체식 안전대 착용 철저, 사다리 아웃트리거 설치 및 확장 후 작업",C1
287,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,넘어짐,작업시 근로자 넘어짐에 따른 부상,C1,작업장 정리 정돈 후 작업(실내 작업 시 실내 안전화 착용),C1
288,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,장비 주변 활선으로 인한 감전 위험,C1,작업자는 활선경보기를 착용후 작업,C1
289,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,시설물 누전으로 인한 감전 위험,C1,작업전 반드시 비접촉검전기를 이용하여 누전 확인후 작업,C1
290,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,절단/배임/찔림,"전원케이블/배관 포설, 포박작업시 손베임 발생",C1,"불안전한 행동에 관한 안전 교육 시행, 안전보호구 착용, 구급함 비치",C1
291,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,전원함 누전으로 인한 감전 발생 위험,C3,절연 장갑 및 절연 안전용품으로 인한 누전 방지,C1
292,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,활선 작업으로 인한 감전 위험,C1,"절연장갑, 절연소매 등 안전보호구 착용 후 작업에 임하기, 정전작업 후 실시",C1
293,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,AC 분전반(전원함) 내 부스바 인출 시 쇼트 발생,C2,차단기 OFF 확인 후 테스터기 측정하여 정전 확인하여 작업 시작,C1
294,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,쇼트에 의한 감전 및 스파크 위험,C2,부스바 등 쇼트가 발생할수 있는 부분 작업전 절연방호 조치 후 작업,C1
295,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,감전,차단기교체시 전원인가된 전원선으로 인한 감전상황 발생,C2,"절연보호구(절연장갑, 절연소매 등) 착용, 작업 전 정전 확인, 개인안전보호구 착용",C1
296,SKO,기지국/통합국/교환사옥,실내/실외,전기작업(사옥/중/통/집/기지국의 배/분전반),S등급,화상,접속부 스파크에 의한 안면 화상 위험,C2,안면보호 마스크 또는 고글착용 후 작업,C1
297,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,떨어짐,직접 승주에 따른 추락 위험,C3,주변 시설물에 안전고리 체결 후 작업,C1
298,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,떨어짐,작업 발판 및 안전고리가 없어 추락 위험,C4,작업발판 및 안전고리 시설 요청 및 주변시설물에 안전고리 체결 후 작업,C1
299,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,떨어짐,안전고리 미 체결에 따른 추락 위험,C3,주변 시설물에 안전고리 체결 후 작업,C1
300,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,부딪힘,시설물에 부딪힘,C2,작업전 TBM 시 위험요인 공유 및 숙지 후 작업,C1
301,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,부딪힘,돌출물에 의해 부딪힘,C2,작업전 TBM 시 위험요인 공유 및 숙지 후 작업,C1
302,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,교통사고,도로변 작업 시 주행차량과 추돌 위험,C2,작업장 주변 안전구역 설치(신호수 배치 또는 에어로봇 설치로 차량 서행 유도),C1
303,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,넘어짐,경사구간 이동시 미끌림으로 인한 넘어질 위험,C2,사전 이동 동선 확보 후 이동,C1
304,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,불균형 및 무리한 동작,무리한 작업으로 인한 근골격게 질환 발생,C2,작업전 충분한 스트레칭 및 TBM 실시,C1
305,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
306,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
307,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,해충,장비 설치/점검 시 벌쏘일 위험,C1,해충방지재 활용 후 이동,C1
308,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,해충,"설치/점검, 이동시 뱀에 물릴 위험",C1,수풀 등 이동 시 안전장화 착용 후 이동,C1
309,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
310,SKO,기지국/중계기/선로,실외,고소 작업(3.5m 이상 고소차 활용 불가),C4등급,감전,전선 접촉 또는 누설 전류에 의한 감전,C3,비접촉 검진기로 누설 전류 확인후 작업,C1
311,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,떨어짐,장비 건물 외부로 돌출로 인한 작업자 추락 위험,C3,주변 시설물에 안전고리 체결 후 작업,C1
312,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,떨어짐,삼각지붕 등 이동 시 추락 위험,C3,수평생명줄에 안전고리 체결 후 이동,C1
313,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,넘어짐,경사면 지붕 이동 시 미끄러짐에의한 넘어짐,C2,이동 동선 사전 확인 후 이동,C1
314,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,부딪힘,장비점검 시 주변 시설물에 부딪힘,C2,작업 동선 및 작업 전 TBM 시 위험요인 공유 및 숙지 후 작업,C1
315,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,넘어짐,주변 재재에 걸려 넘어질 위험,C2,이동 동선 및 작업 동선 확보 후 작업,C1
316,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,감전,전선 접촉 또는 누설 전류에 의한 감전,C3,주변 시설물에 안전고리 체결 후 작업,C1
317,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,떨어짐,건물 외벽 장비 점검 시 떨어질 위험,C3,고소작업대 등을 활용하여 작업,C1
318,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,떨어짐,삼각지붕 이동 시 수평생명줄이 없어 추락 위험,C3,수평생명줄 설치 요청(작업 시 주변 시설물에 임시 생명줄 설치 후 작업),C1
319,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,SGR 폭염 기준 숙지 후 작업,C1
320,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,해충,장비 설치/점검 시 벌쏘일 위험,C1,해충방지재 활용 후 이동,C1
321,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,해충,"설치/점검, 이동시 뱀에 물릴 위험",C1,수풀 등 이동 시 안전장화 착용 후 이동,C1
322,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,이상온도/물체접촉,고온에 의한 열사병 위험,C2,장시간 작업 시 작업장 주변 그늘막 설치 및 SGR 폭염 기준 준수,C1
323,SKO,기지국/중계기/선로,실외/실내,추락/낙하 위험 ANT 최적화(장비교체 포함),C3등급,이상온도/물체접촉,추위에 의한 동상 등 위험,C2,"SGR 기준 숙지 및 핫팩, 발열조끼 착용 후 작업",C1
324,SKO,기지국/중계기/선로,실외/실내,고소차 활용 작업(3.5m 이상),C3등급,교통사고,안전시설물 미설치로 인한 충돌 위험,C3,작업장 주변 안전구역 설치(신호수 배치 또는 에어로봇 설치로 차량 서행 유도),C1
325,SKO,기지국/중계기/선로,실외/실내,고소차 활용 작업(3.5m 이상),C3등급,부딪힘,경사구간 작업시 차량미끌림으로 인한 충돌 위험,C3,차량 주차후 사이드 브레이크 작동 및 고임목 설치,C1
